Date,JPY to USD,USD TO AUD,USD to EUR,USD to GBP
1994-10-11,100.35,0.7389,1.2383,1.5843
1994-10-12,100.3,0.7359,1.2356,1.5795
1994-10-13,99.845,0.7378,1.2386,1.5818
1994-10-14,99.3,0.7357,1.2468,1.593
1994-10-15,98.05,0.7357,1.254,1.596
1994-10-17,98.375,0.7366,1.254,1.592
1994-10-18,97.9,0.7368,1.2701,1.6085
1994-10-19,97.58,0.7376,1.2683,1.6125
1994-10-20,97.425,0.7361,1.2692,1.6226
1994-10-21,96.75,0.7328,1.2737,1.6305
1994-10-22,97.235,0.7324,1.2691,1.626
1994-10-24,97.365,0.7363,1.2691,1.6275
1994-10-25,97.05,0.7368,1.274,1.6345
1994-10-26,97.05,0.7373,1.2718,1.636
1994-10-27,96.825,0.7424,1.2777,1.6355
1994-10-28,97.1,0.7428,1.2731,1.6347
1994-10-29,97.28,0.7428,1.2626,1.624
1994-10-31,97.43,0.7425,1.2626,1.619
1994-11-01,96.725,0.7422,1.268,1.6375
1994-11-02,96.5,0.7405,1.2739,1.6365
1994-11-03,97.405,0.7429,1.2576,1.6232
1994-11-04,97.775,0.7428,1.2543,1.6178
1994-11-05,97.45,0.7515,1.2563,1.616
1994-11-07,97.365,0.7489,1.2563,1.6165
1994-11-08,97.35,0.7533,1.2547,1.615
1994-11-09,96.95,0.7527,1.2603,1.6208
1994-11-10,97.715,0.7539,1.2453,1.6065
1994-11-11,97.685,0.7545,1.2445,1.6012
1994-11-12,97.6,0.7525,1.2444,1.5995
1994-11-14,97.7,0.752,1.2444,1.5955
1994-11-15,98.35,0.7521,1.2332,1.587
1994-11-16,98.625,0.7516,1.2305,1.573
1994-11-17,98.225,0.7521,1.2281,1.5733
1994-11-18,98.325,0.7535,1.2259,1.5715
1994-11-19,98.575,0.7584,1.2242,1.566
1994-11-21,98.605,0.7578,1.2242,1.5665
1994-11-22,98.15,0.7621,1.2241,1.5685
1994-11-23,98.125,0.7612,1.2257,1.5703
1994-11-24,98.425,0.7604,1.2264,1.5695
1994-11-25,98.35,0.7588,1.2219,1.5625
1994-11-26,98.775,0.7595,1.2218,1.563
1994-11-28,98.725,0.7612,1.2218,1.5621
1994-11-29,98.55,0.7628,1.2167,1.566
1994-11-30,98.9,0.7639,1.2135,1.5629
1994-12-01,98.825,0.7674,1.2152,1.567
1994-12-02,99.35,0.768,1.2131,1.5651
1994-12-03,100.605,0.7696,1.2078,1.561
1994-12-05,100.45,0.7712,1.2078,1.5593
1994-12-06,100.315,0.7696,1.2135,1.558
1994-12-07,100.085,0.7705,1.2134,1.5585
1994-12-08,99.9,0.7695,1.2171,1.5685
1994-12-09,100.575,0.7716,1.2102,1.5625
1994-12-10,100.075,0.7735,1.2109,1.56
1994-12-12,100.175,0.7728,1.2109,1.5595
1994-12-13,99.905,0.7727,1.2117,1.5646
1994-12-14,100.315,0.7759,1.2115,1.5595
1994-12-15,100.3,0.7769,1.2144,1.563
1994-12-16,100.3,0.7777,1.2137,1.562
1994-12-17,100.225,0.7751,1.2122,1.5605
1994-12-19,100.275,0.7751,1.2122,1.56
1994-12-20,100.15,0.7754,1.2113,1.5605
1994-12-21,100.25,0.7767,1.2136,1.5592
1994-12-22,100.5,0.7754,1.2064,1.5407
1994-12-23,100.215,0.7755,1.2087,1.5459
1994-12-24,100.12,0.7775,1.2045,1.5463
1994-12-26,100.15,0.777,1.2045,1.546
1994-12-27,100.47,0.7776,1.2045,1.542
1994-12-28,100.425,0.7766,1.2068,1.546
1994-12-29,99.675,0.7762,1.2113,1.569
1994-12-30,99.75,0.7766,1.2236,1.5585
1994-12-31,99.75,0.7753,1.2269,1.5665
1995-01-03,100.205,0.7759,1.2269,1.5595
1995-01-04,100.7,0.7684,1.2222,1.5643
1995-01-05,101.315,0.769,1.2216,1.5605
1995-01-06,100.95,0.7698,1.2268,1.5625
1995-01-07,101.375,0.765,1.2163,1.5495
1995-01-09,101.25,0.7656,1.2163,1.552
1995-01-10,100.095,0.7633,1.2345,1.562
1995-01-11,100.125,0.7673,1.2348,1.5615
1995-01-12,100.125,0.7699,1.2332,1.5597
1995-01-13,98.85,0.7673,1.238,1.573
1995-01-14,98.55,0.757,1.2346,1.5685
1995-01-16,98.325,0.7572,1.2346,1.5688
1995-01-17,98.55,0.7604,1.237,1.5681
1995-01-18,98.975,0.7581,1.2343,1.5669
1995-01-19,99.475,0.7613,1.2339,1.5699
1995-01-20,99.175,0.768,1.2473,1.587
1995-01-21,99.42,0.7695,1.2501,1.5888
1995-01-23,99.485,0.7688,1.2501,1.586
1995-01-24,99.725,0.7689,1.2493,1.594
1995-01-25,99.6,0.7738,1.251,1.5985
1995-01-26,99.5,0.7647,1.2466,1.592
1995-01-27,99.475,0.7658,1.2455,1.5905
1995-01-28,99.375,0.7593,1.2465,1.5895
1995-02-02,99.1,0.7579,1.2435,1.5835
1995-02-03,99.45,0.7592,1.244,1.5807
1995-02-04,99.85,0.7518,1.2345,1.5635
1995-02-06,99.7,0.7515,1.2345,1.561
1995-02-07,99.27,0.7505,1.2327,1.5611
1995-02-08,99.375,0.7458,1.2297,1.5572
1995-02-09,98.865,0.746,1.233,1.5545
1995-02-10,98.8,0.7428,1.2348,1.5575
1995-02-11,98.9,0.7458,1.2417,1.5635
1995-02-13,98.75,0.7472,1.2417,1.5628
1995-02-14,98.65,0.7445,1.24,1.5615
1995-02-15,98.485,0.7461,1.249,1.5623
1995-02-16,98.3,0.7463,1.2487,1.5605
1995-02-17,97.415,0.7363,1.2619,1.5776
1995-02-18,97.3,0.7373,1.2678,1.5825
1995-02-20,97.2,0.7363,1.2678,1.5821
1995-02-21,97.25,0.7381,1.2725,1.579
1995-02-22,97.0,0.7424,1.2726,1.5875
1995-02-23,97.11,0.7378,1.2715,1.5885
1995-02-24,96.7,0.7373,1.2748,1.594
1995-02-25,96.95,0.7382,1.2739,1.5885
1995-02-27,97.475,0.7398,1.2739,1.5779
1995-02-28,97.1,0.7393,1.2668,1.587
1995-03-02,96.65,0.7329,1.2738,1.591
1995-03-03,95.375,0.7368,1.2879,1.614
1995-03-04,94.135,0.7368,1.3005,1.6295
1995-03-06,93.65,0.7374,1.3005,1.639
1995-03-07,92.9,0.7384,1.3128,1.6217
1995-03-08,90.6,0.7378,1.3228,1.6405
1995-03-09,90.95,0.7413,1.3143,1.6105
1995-03-10,91.25,0.7417,1.3128,1.608
1995-03-11,90.9,0.7444,1.2918,1.574
1995-03-13,90.4,0.7444,1.2918,1.5815
1995-03-14,90.75,0.7468,1.298,1.592
1995-03-15,90.75,0.7462,1.293,1.5853
1995-03-16,89.9,0.7465,1.3144,1.595
1995-03-17,90.2,0.7455,1.3078,1.5891
1995-03-18,89.1,0.7339,1.3026,1.584
1995-03-20,88.77,0.731,1.3026,1.5935
1995-03-21,89.255,0.7252,1.2947,1.5785
1995-03-22,89.3,0.7286,1.2917,1.5875
1995-03-23,88.85,0.7258,1.297,1.588
1995-03-24,88.55,0.7264,1.2985,1.5925
1995-03-25,88.95,0.73,1.2907,1.594
1995-03-27,88.7,0.7282,1.2907,1.5915
1995-03-28,89.45,0.7263,1.2989,1.5971
1995-03-29,89.0,0.7283,1.3161,1.6158
1995-03-30,88.425,0.7226,1.3175,1.608
1995-03-31,89.475,0.7296,1.3019,1.6075
1995-04-01,86.6,0.7352,1.3319,1.6225
1995-04-03,86.6,0.7341,1.3319,1.626
1995-04-04,85.85,0.7333,1.33,1.6185
1995-04-06,86.25,0.7402,1.3282,1.6065
1995-04-07,85.3,0.7392,1.3329,1.6065
1995-04-08,83.715,0.742,1.3352,1.6143
1995-04-10,83.875,0.7425,1.3352,1.6015
1995-04-11,83.7,0.7389,1.3053,1.5935
1995-04-12,83.185,0.7426,1.3138,1.5937
1995-04-13,83.7,0.7424,1.3155,1.594
1995-04-14,83.45,0.7394,1.3293,1.6095
1995-04-15,83.3,0.7395,1.3263,1.6045
1995-04-17,82.65,0.7398,1.3263,1.6045
1995-04-18,81.95,0.7461,1.344,1.6195
1995-04-19,80.35,0.7419,1.345,1.613
1995-04-20,81.0,0.7336,1.3294,1.6105
1995-04-21,83.1,0.7359,1.3229,1.6095
1995-04-22,82.7,0.728,1.3312,1.6127
1995-04-24,82.3,0.7293,1.3312,1.6162
1995-04-25,83.2,0.7276,1.3295,1.603
1995-04-26,81.65,0.7265,1.3364,1.619
1995-04-27,83.75,0.7263,1.3399,1.6138
1995-04-28,83.65,0.7296,1.33,1.616
1995-04-29,84.25,0.7275,1.3251,1.6125
1995-05-02,83.55,0.7288,1.3206,1.616
1995-05-03,83.55,0.7296,1.3287,1.6156
1995-05-04,83.495,0.7333,1.3328,1.6166
1995-05-06,83.945,0.7438,1.331,1.5978
1995-05-08,83.55,0.7413,1.331,1.5999
1995-05-09,83.175,0.7383,1.3413,1.6052
1995-05-10,83.45,0.7288,1.3299,1.5861
1995-05-11,83.75,0.7281,1.3264,1.5857
1995-05-12,85.58,0.7335,1.2989,1.5597
1995-05-13,86.75,0.7396,1.2811,1.5695
1995-05-15,87.25,0.7386,1.2811,1.5625
1995-05-16,86.375,0.7343,1.2916,1.5738
1995-05-17,86.33,0.7268,1.2843,1.5649
1995-05-18,87.05,0.7332,1.2781,1.568
1995-05-19,86.7,0.7182,1.271,1.5773
1995-05-20,86.8,0.7168,1.2805,1.5705
1995-05-22,87.05,0.717,1.2805,1.5696
1995-05-23,87.35,0.717,1.2818,1.5755
1995-05-24,87.25,0.7199,1.2756,1.5698
1995-05-25,87.165,0.7164,1.2809,1.5743
1995-05-26,84.9,0.7227,1.3159,1.6065
1995-05-27,82.83,0.718,1.3365,1.606
1995-05-29,82.25,0.7178,1.3365,1.6045
1995-05-30,82.6,0.7191,1.3365,1.6001
1995-05-31,83.2,0.7214,1.326,1.5995
1995-06-01,84.8,0.7176,1.3059,1.5852
1995-06-02,84.7,0.7164,1.3158,1.5975
1995-06-03,84.35,0.7155,1.3023,1.5895
1995-06-05,84.2,0.7153,1.3023,1.59
1995-06-07,84.65,0.717,1.3122,1.591
1995-06-08,85.0,0.7223,1.3098,1.5871
1995-06-09,84.685,0.7193,1.3143,1.596
1995-06-10,84.35,0.719,1.3151,1.5945
1995-06-12,84.35,0.7196,1.3151,1.594
1995-06-13,83.85,0.7184,1.3153,1.596
1995-06-14,84.55,0.7217,1.3123,1.594
1995-06-15,84.225,0.7198,1.32,1.6137
1995-06-16,84.6,0.7274,1.3156,1.5985
1995-06-17,84.7,0.728,1.3185,1.6055
1995-06-19,84.35,0.7266,1.3185,1.6032
1995-06-20,84.75,0.7256,1.322,1.5981
1995-06-21,84.3,0.7234,1.3274,1.6045
1995-06-22,84.075,0.7262,1.3284,1.6107
1995-06-23,84.45,0.7208,1.3215,1.5974
1995-06-24,84.35,0.7205,1.3315,1.6075
1995-06-26,84.3,0.7208,1.3315,1.6047
1995-06-28,83.8,0.7148,1.3265,1.5872
1995-06-29,85.65,0.7165,1.3188,1.577
1995-06-30,84.6,0.7151,1.3359,1.5945
1995-07-01,84.65,0.709,1.3321,1.595
1995-07-03,84.75,0.7106,1.3321,1.5929
1995-07-04,84.65,0.7087,1.3343,1.5985
1995-07-05,84.75,0.7116,1.3339,1.5984
1995-07-06,84.85,0.7107,1.3365,1.5945
1995-07-07,85.15,0.7137,1.3382,1.5985
1995-07-08,86.75,0.716,1.3286,1.5965
1995-07-10,86.8,0.7153,1.3286,1.5955
1995-07-11,87.075,0.7149,1.3275,1.592
1995-07-12,87.6,0.7198,1.3183,1.587
1995-07-13,87.38,0.7275,1.3207,1.593
1995-07-14,87.4,0.7329,1.3216,1.5986
1995-07-15,87.85,0.7301,1.3305,1.5945
1995-07-18,88.95,0.7342,1.3265,1.593
1995-07-19,88.55,0.7325,1.3329,1.5945
1995-07-20,87.2,0.7311,1.3439,1.5974
1995-07-21,88.25,0.7346,1.3391,1.5954
1995-07-22,88.525,0.7345,1.3363,1.594
1995-07-24,88.8,0.7367,1.3363,1.595
1995-07-25,87.6,0.7392,1.336,1.595
1995-07-26,88.0,0.7388,1.3305,1.5899
1995-07-27,87.775,0.7376,1.3395,1.5947
1995-07-28,88.15,0.7343,1.345,1.5969
1995-07-29,88.105,0.7378,1.3446,1.601
1995-07-31,88.3,0.7374,1.3446,1.6015
1995-08-01,88.55,0.7392,1.3403,1.5972
1995-08-02,88.15,0.7414,1.35,1.6065
1995-08-03,90.9,0.7407,1.3322,1.6007
1995-08-04,90.75,0.7363,1.3392,1.6052
1995-08-05,91.4,0.7425,1.3336,1.6055
1995-08-07,91.55,0.7418,1.3336,1.6056
1995-08-08,91.3,0.7437,1.3222,1.6026
1995-08-09,91.265,0.7439,1.3223,1.6027
1995-08-10,91.6,0.7399,1.3241,1.5985
1995-08-11,92.875,0.7404,1.3141,1.591
1995-08-12,93.9,0.7425,1.3018,1.5715
1995-08-14,94.3,0.7419,1.3018,1.5669
1995-08-16,98.4,0.7361,1.272,1.5405
1995-08-17,98.25,0.7332,1.2753,1.5435
1995-08-18,97.55,0.7333,1.2726,1.544
1995-08-19,97.425,0.7355,1.2738,1.541
1995-08-21,97.7,0.7379,1.2738,1.539
1995-08-22,96.8,0.7384,1.2711,1.54
1995-08-23,97.3,0.7408,1.2636,1.534
1995-08-24,96.55,0.7394,1.2668,1.5418
1995-08-25,96.68,0.7439,1.2735,1.5449
1995-08-26,96.65,0.7437,1.27,1.5505
1995-08-28,96.55,0.7427,1.27,1.5525
1995-08-29,96.75,0.7441,1.2788,1.5475
1995-08-30,98.45,0.7541,1.267,1.5435
1995-08-31,99.15,0.7578,1.271,1.5434
1995-09-01,97.385,0.7495,1.2759,1.551
1995-09-02,97.425,0.7515,1.2765,1.556
1995-09-04,97.45,0.7489,1.2765,1.558
1995-09-05,97.75,0.749,1.2765,1.5525
1995-09-06,97.9,0.7516,1.279,1.5565
1995-09-07,99.2,0.7518,1.267,1.547
1995-09-11,99.25,0.7519,1.268,1.554
1995-09-12,100.05,0.7538,1.2693,1.5485
1995-09-13,100.87,0.7616,1.269,1.556
1995-09-14,102.95,0.7645,1.2563,1.5468
1995-09-15,102.655,0.7622,1.2597,1.5478
1995-09-16,104.13,0.7605,1.2613,1.55
1995-09-18,104.45,0.7616,1.2613,1.5465
1995-09-19,103.515,0.7563,1.264,1.5475
1995-09-20,104.45,0.7609,1.2601,1.5463
1995-09-21,102.65,0.7544,1.279,1.5524
1995-09-22,99.2,0.747,1.2977,1.589
1995-09-23,99.95,0.7455,1.3,1.5743
1995-09-25,101.3,0.7505,1.3,1.5711
1995-09-26,100.4,0.7508,1.2943,1.5722
1995-09-27,100.7,0.7489,1.2924,1.568
1995-09-28,100.45,0.7508,1.3,1.5751
1995-09-29,99.55,0.7528,1.3035,1.5785
1995-09-30,99.725,0.755,1.2971,1.5843
1995-10-02,100.45,0.7565,1.2971,1.5825
1995-10-04,101.45,0.7688,1.2884,1.5815
1995-10-05,100.45,0.7634,1.291,1.5832
1995-10-06,99.8,0.7592,1.2946,1.5849
1995-10-07,100.55,0.7615,1.289,1.583
1995-10-09,101.15,0.7651,1.289,1.5825
1995-10-10,100.235,0.7628,1.2954,1.5857
1995-10-11,100.535,0.7613,1.2933,1.5782
1995-10-12,101.1,0.764,1.2896,1.5721
1995-10-13,100.3,0.7618,1.2983,1.5755
1995-10-14,100.97,0.7591,1.2934,1.574
1995-10-16,100.75,0.7598,1.2934,1.5755
1995-10-17,100.58,0.7587,1.2938,1.5753
1995-10-18,100.15,0.7538,1.2961,1.5725
1995-10-19,100.6,0.7544,1.2909,1.5683
1995-10-20,100.4,0.7509,1.302,1.5775
1995-10-21,100.325,0.75,1.3088,1.5735
1995-10-23,99.75,0.7466,1.3088,1.576
1995-10-24,99.85,0.7486,1.3141,1.578
1995-10-25,100.35,0.7484,1.3094,1.5808
1995-10-26,101.4,0.7533,1.3099,1.5788
1995-10-27,101.4,0.7558,1.3105,1.5825
1995-10-28,101.8,0.7543,1.3037,1.578
1995-10-30,101.8,0.7593,1.3037,1.576
1995-10-31,101.7,0.7593,1.303,1.5767
1995-11-01,102.0,0.7594,1.302,1.5805
1995-11-02,103.2,0.7597,1.2958,1.5785
1995-11-03,104.025,0.7576,1.2905,1.5787
1995-11-04,103.885,0.7575,1.2935,1.58
1995-11-06,103.9,0.7574,1.2935,1.578
1995-11-07,103.25,0.7536,1.2962,1.5806
1995-11-08,102.935,0.7498,1.2966,1.5805
1995-11-09,102.35,0.7474,1.2927,1.5785
1995-11-10,100.535,0.7373,1.303,1.5793
1995-11-11,100.9,0.7388,1.2918,1.566
1995-11-13,100.875,0.7377,1.2918,1.5675
1995-11-14,101.735,0.7389,1.291,1.5544
1995-11-15,101.415,0.7403,1.2958,1.5588
1995-11-16,101.325,0.7357,1.3006,1.5595
1995-11-17,102.15,0.7416,1.3004,1.5568
1995-11-18,102.15,0.7407,1.309,1.5433
1995-11-20,102.35,0.7424,1.309,1.5444
1995-11-21,101.4,0.7461,1.3024,1.5565
1995-11-22,101.45,0.7426,1.3019,1.557
1995-11-23,100.875,0.7407,1.3017,1.5628
1995-11-24,100.75,0.7401,1.3001,1.563
1995-11-25,101.5,0.7398,1.2993,1.56
1995-11-27,101.65,0.7404,1.2993,1.559
1995-11-28,101.75,0.7438,1.2893,1.5525
1995-11-29,101.325,0.7491,1.2925,1.5436
1995-11-30,101.6,0.749,1.2859,1.5355
1995-12-01,101.92,0.7439,1.275,1.5335
1995-12-02,101.185,0.7385,1.2757,1.531
1995-12-04,101.4,0.7393,1.2757,1.533
1995-12-05,101.255,0.7375,1.2773,1.5336
1995-12-06,101.2,0.7391,1.2858,1.5446
1995-12-07,101.57,0.7397,1.2761,1.542
1995-12-08,101.315,0.7404,1.2751,1.534
1995-12-09,101.25,0.7365,1.2737,1.534
1995-12-11,101.2,0.7375,1.2737,1.534
1995-12-12,101.1,0.7365,1.2723,1.5348
1995-12-13,101.65,0.7407,1.2673,1.5325
1995-12-14,101.65,0.7451,1.2636,1.5339
1995-12-15,101.445,0.7401,1.2735,1.5423
1995-12-16,102.025,0.7413,1.273,1.5365
1995-12-18,101.95,0.7407,1.273,1.5385
1995-12-19,101.55,0.7408,1.2838,1.5425
1995-12-20,102.075,0.7416,1.273,1.5375
1995-12-21,101.9,0.7415,1.2779,1.5415
1995-12-22,101.85,0.7407,1.2769,1.5411
1995-12-23,102.295,0.7392,1.2776,1.543
1995-12-26,102.65,0.7405,1.2776,1.5435
1995-12-27,102.45,0.7417,1.2814,1.5605
1995-12-28,102.8,0.7474,1.2799,1.5595
1995-12-29,102.8,0.7441,1.2768,1.548
1995-12-30,103.4,0.743,1.2778,1.5515
1996-01-03,103.905,0.7459,1.2783,1.5547
1996-01-04,104.7,0.7473,1.2761,1.55
1996-01-05,105.25,0.7408,1.28,1.5515
1996-01-06,105.35,0.7475,1.2838,1.5525
1996-01-08,105.665,0.7478,1.2838,1.5494
1996-01-09,105.245,0.7477,1.2861,1.5515
1996-01-10,104.27,0.7432,1.2914,1.55
1996-01-11,104.725,0.7461,1.294,1.5455
1996-01-12,104.895,0.7439,1.2883,1.5455
1996-01-13,105.25,0.744,1.2813,1.5475
1996-01-15,105.375,0.7447,1.2813,1.546
1996-01-16,105.45,0.7427,1.2782,1.544
1996-01-17,105.975,0.7441,1.2613,1.5335
1996-01-18,105.6,0.7418,1.2581,1.5235
1996-01-19,105.6,0.7373,1.2544,1.5171
1996-01-20,105.325,0.7349,1.247,1.5105
1996-01-22,105.45,0.7342,1.247,1.5105
1996-01-23,105.83,0.7327,1.2473,1.512
1996-01-24,106.05,0.7334,1.2442,1.5145
1996-01-25,107.0,0.7372,1.238,1.5118
1996-01-26,107.05,0.7395,1.2329,1.506
1996-01-27,106.63,0.7373,1.2262,1.5035
1996-01-29,106.75,0.7373,1.2262,1.5039
1996-01-30,106.75,0.7415,1.232,1.507
1996-01-31,107.37,0.7437,1.2291,1.5065
1996-02-01,106.75,0.746,1.234,1.515
1996-02-02,106.75,0.7484,1.237,1.5192
1996-02-03,106.45,0.7579,1.2386,1.5245
1996-02-05,106.25,0.7602,1.2386,1.5285
1996-02-06,105.2,0.7553,1.2504,1.5381
1996-02-07,105.0,0.7538,1.2472,1.5432
